objID,ra,dec,u,g,r,i,z,petroR50_r,petroR90_r,Concentration,Exp_Fit,Dev_Fit,PhotoZ,Redshift
587726032268951674,226.64279795,1.55880052,17.891653,15.856936,15.010969,14.573477,14.219967,1.549422,4.321514,2.789113,0.777532,0.820733,0.05843,0
587728309095170053,152.04303116,2.46342029,16.846529,15.154999,14.39889,14.008347,13.721058,3.051335,8.98834,2.945708,0.917364,0.988115,0.04366,6.86993E-3
588017566027939963,187.97040785,12.26640682,19.430973,17.81592,17.156822,16.829422,16.623878,1.999568,5.657453,2.829337,0.975871,0.990688,0.055117,3.23329E-3
588017566564679738,187.63320285,12.49017102,15.818399,13.878869,13.101801,12.646495,12.338372,2.576248,7.219854,2.802469,0.964339,0.925546,0.073552,0
588017569774305500,190.48055844,11.66771037,20.130243,18.035765,17.218023,16.832703,16.482376,0.946942,2.127067,2.246249,0.956307,0.959037,0.07419,2.37887E-3
588017569774370888,190.54600615,11.64478272,18.866718,16.901133,16.083782,15.694793,15.353512,0.840471,1.930152,2.296512,0.914664,0.928622,0.055962,0
588017702398263415,190.8998501,11.53463379,19.761261,17.543898,16.714783,16.289415,15.942372,0.860003,1.867346,2.171326,0.946663,0.943978,0.075014,0
588017703471153243,188.9051994,12.38203978,16.784142,14.995666,14.230219,13.835333,13.530585,3.511382,9.815023,2.795202,0.8827,0.933534,0.044517,9.47882E-4
588017726012129348,187.37603938,7.99286113,16.60095,14.74027,13.954496,13.547838,13.247986,4.561307,13.042779,2.859439,0.771505,0.811946,0.038038,4.65738E-3
588017726012129381,187.39581088,8.05800197,18.024982,16.015615,15.171539,14.759243,14.440962,2.103129,5.795461,2.755637,0.910708,0.914834,0.060326,4.66088E-3
