Name,RA,Dec,V,V_err,g,g_err,r,r_err,i,i_err
NGC0821_star1 ,32.040325,10.927779,-158,16,21.329,0.022,20.899,0.018,20.744,0.015
NGC0821_star2 ,32.062702,10.941762,-148,13,21.993,0.027,20.893,0.018,20.601,0.015
NGC0821_star3 ,31.984379,10.962879,-177,9,23.798,0.062,23.142,0.036,22.922,0.031
NGC0821_star4 ,32.158576,10.988203,-239,7,22.28,0.029,21.477,0.019,21.174,0.015
NGC0821_star5 ,32.031562,10.995136,27,5,17.981,0.02,17.205,0.017,17.021,0.014
NGC0821_star6 ,32.014666,10.99974,95,18,21.822,0.023,20.928,0.018,20.682,0.015
NGC0821_star7 ,32.144444,11.010567,90,5,19.012,0.02,18.613,0.017,18.438,0.014
NGC0821_star8 ,32.069672,11.023419,-51,7,18.44,0.02,17.291,0.017,16.965,0.014
NGC0821_star9 ,32.188016,11.028497,-67,8,22.532,0.029,21.756,0.02,21.522,0.017
NGC0821_star10,32.158949,11.040723,-191,11,22.277,0.026,21.9,0.019,21.796,0.018
NGC1400_star1,54.982992,-18.7059,43,11,22.166,0.005,21.276,0.005,20.917,0.007
NGC1400_star2,54.872338,-18.701683,162,21,22.259,0.01,21.689,0.007,21.451,0.007
NGC1400_star3,54.876433,-18.677681,213,14,22.757,0.005,22.211,0.009,21.98,0.009
NGC1400_star4,54.889479,-18.619214,38,21,22.763,0.008,22.281,0.008,22.101,0.008
NGC1400_star5,54.883067,-18.654686,-91,10,23.04,0.006,21.869,0.009,21.443,0.006
NGC1400_star6,54.875654,-18.770433,0,13,22.323,0.011,21.177,0.008,20.749,0.005
